shoot_height_cm,trunk_circumference_cm,shoot_age_months,num_leaves,leaf_color,bark_color,bark_texture,straightness,harvest_readiness
124,4.51,21,18,brownish green,medium brown,smooth and soft,slightly straight,Ready
153,3.25,9,17,yellowish green,light brown,smooth and soft,very straight,Not Ready
167,2.26,10,13,yellowish green,light brown,smooth and soft,very straight,Not Ready
164,3.72,14,15,dark green,medium brown,slightly rough,very straight,Ready
176,3.61,20,14,dark green,medium brown,slightly rough,very straight,Ready
138,5.88,22,18,yellowish green,dark brown,rough and peeling,very straight,Ready
103,3.29,12,13,bright green,medium brown,rough and peeling,slightly straight,Borderline
81,1.55,8,13,dark green,green,smooth and soft,very straight,Not Ready
146,2.47,12,18,dark green,dark brown,rough and peeling,very straight,Borderline
115,3.22,19,15,dark green,medium brown,rough and peeling,very straight,Ready
124,3.95,22,19,yellowish green,dark brown,rough and peeling,very straight,Ready
138,4.14,24,21,brownish green,dark brown,rough and peeling,very straight,Ready
117,2.67,8,17,dark green,dark brown,rough and peeling,very straight,Borderline
149,3.42,21,14,brownish green,medium brown,smooth and soft,very straight,Not Ready
171,4.19,24,16,bright green,medium brown,slightly rough,very straight,Ready
119,2.0,11,11,dark green,light brown,smooth and soft,slightly straight,Not Ready
170,4.21,18,22,brownish green,dark brown,slightly rough,very straight,Ready
150,3.02,18,16,yellowish green,medium brown,slightly rough,very straight,Ready
163,3.56,20,15,brownish green,medium brown,slightly rough,slightly straight,Ready
151,3.95,18,14,brownish green,light brown,smooth and soft,very straight,Ready
167,4.27,24,20,yellowish green,medium brown,slightly rough,very straight,Ready
95,3.31,23,19,brownish green,dark brown,rough and peeling,slightly straight,Not Ready
115,4.38,22,15,brownish green,dark brown,slightly rough,curved,Borderline
126,2.99,22,15,dark green,medium brown,slightly rough,slightly straight,Borderline
109,2.53,11,16,dark green,dark brown,rough and peeling,very straight,Borderline
100,5.12,23,21,yellowish green,dark brown,smooth and soft,very straight,Ready
122,4.32,24,16,dark green,dark brown,slightly rough,slightly straight,Ready
134,3.54,21,14,brownish green,medium brown,slightly rough,very straight,Borderline
84,1.67,9,11,dark green,green,smooth and soft,slightly straight,Not Ready
155,1.75,8,17,brownish green,medium brown,slightly rough,very straight,Not Ready
172,3.02,13,14,brownish green,dark brown,rough and peeling,slightly straight,Ready
166,2.78,24,14,yellowish green,green,smooth and soft,curved,Borderline
120,2.91,10,16,dark green,dark brown,rough and peeling,very straight,Ready
92,2.65,10,16,yellowish green,medium brown,smooth and soft,slightly straight,Not Ready
102,2.49,9,9,yellowish green,medium brown,smooth and soft,slightly straight,Not Ready
147,2.15,9,14,yellowish green,dark brown,rough and peeling,very straight,Borderline
116,2.66,8,15,dark green,light brown,slightly rough,very straight,Not Ready
155,2.8,14,16,yellowish green,light brown,slightly rough,slightly straight,Borderline
167,3.14,21,14,brownish green,medium brown,rough and peeling,very straight,Ready
161,2.31,8,14,dark green,light brown,smooth and soft,very straight,Not Ready
122,3.79,21,23,yellowish green,light brown,smooth and soft,very straight,Not Ready
141,3.21,19,17,dark green,medium brown,slightly rough,very straight,Ready
125,2.65,12,18,dark green,dark brown,rough and peeling,slightly straight,Ready
180,5.31,24,20,yellowish green,medium brown,slightly rough,slightly straight,Ready
130,2.24,9,10,dark green,medium brown,slightly rough,very straight,Borderline
93,1.65,11,10,dark green,green,smooth and soft,slightly straight,Not Ready
132,2.57,11,14,dark green,green,smooth and soft,very straight,Not Ready
109,2.4,8,15,brownish green,light brown,slightly rough,slightly straight,Not Ready
134,4.06,18,19,yellowish green,green,smooth and soft,very straight,Borderline
134,2.3,10,12,yellowish green,light brown,smooth and soft,very straight,Not Ready
119,2.54,8,12,dark green,medium brown,slightly rough,very straight,Borderline
133,2.86,9,14,bright green,medium brown,rough and peeling,very straight,Borderline
169,5.52,22,17,dark green,dark brown,rough and peeling,very straight,Ready
82,3.57,16,17,yellowish green,light brown,slightly rough,slightly straight,Borderline
165,2.32,9,8,dark green,dark brown,slightly rough,very straight,Not Ready
162,2.72,18,17,dark green,dark brown,rough and peeling,very straight,Ready
107,1.94,8,4,bright green,green,smooth and soft,very straight,Not Ready
55,1.36,8,8,bright green,green,smooth and soft,very straight,Not Ready
106,2.62,8,9,dark green,light brown,smooth and soft,very straight,Not Ready
159,3.38,12,14,yellowish green,dark brown,rough and peeling,very straight,Ready
123,3.61,16,14,dark green,dark brown,slightly rough,slightly straight,Ready
80,3.58,15,20,yellowish green,dark brown,slightly rough,very straight,Not Ready
82,1.74,8,15,dark green,green,smooth and soft,slightly straight,Not Ready
152,2.76,13,16,bright green,medium brown,rough and peeling,very straight,Ready
158,3.6,18,10,yellowish green,dark brown,rough and peeling,slightly straight,Ready
149,3.46,20,18,dark green,dark brown,rough and peeling,slightly straight,Ready
51,0.93,11,6,bright green,green,smooth and soft,slightly straight,Not Ready
158,2.42,8,7,yellowish green,dark brown,rough and peeling,very straight,Borderline
152,2.95,20,15,yellowish green,medium brown,smooth and soft,very straight,Ready
155,4.7,19,14,yellowish green,dark brown,rough and peeling,slightly straight,Ready
157,1.82,10,16,dark green,green,smooth and soft,very straight,Not Ready
133,5.95,19,15,brownish green,dark brown,slightly rough,very straight,Ready
156,3.54,18,20,brownish green,dark brown,slightly rough,very straight,Ready
165,2.63,8,16,yellowish green,medium brown,rough and peeling,slightly straight,Borderline
138,3.58,9,15,yellowish green,light brown,smooth and soft,very straight,Borderline
125,4.17,24,15,dark green,light brown,smooth and soft,very straight,Borderline
135,2.7,9,15,bright green,medium brown,slightly rough,slightly straight,Borderline
120,3.12,20,15,yellowish green,medium brown,slightly rough,slightly straight,Borderline
111,1.83,10,11,dark green,medium brown,slightly rough,slightly straight,Borderline
153,4.17,21,16,bright green,medium brown,rough and peeling,very straight,Ready
50,1.05,9,6,bright green,green,smooth and soft,curved,Not Ready
124,3.05,21,20,yellowish green,dark brown,rough and peeling,slightly straight,Ready
165,2.16,11,17,yellowish green,medium brown,rough and peeling,very straight,Borderline
128,3.57,18,18,yellowish green,dark brown,smooth and soft,very straight,Not Ready
98,2.1,10,11,yellowish green,green,smooth and soft,very straight,Not Ready
50,0.91,11,3,yellowish green,green,smooth and soft,curved,Not Ready
